Date,Conference,Venue,Country_or_City,Title,Authors,Format,Notes,Conference_JP,Venue_JP,Country_or_City_JP,Title_JP,
20130324,"Japan Society for Bioscience, Biotechnology, and Agrochemistry Annual Meeting",Tohoku University,Sendai,Wavelength Dependence of Euglena Photomotility,"Hideshi Ooka, Takumi Ishii, Ryuhei Nakamura, Kazuhito Hashimoto",Oral,,2013年度農芸化学会,東北大学,仙台,ミドリムシ走光性における波長依存性,大岡英史、石居拓己、中村龍平、橋本和仁
20131021,The 3rd CSJ Chemistry Festa,Tower Hall Funabori,Tokyo,Study on Euglena Photomotility towards Microbial Biofuel Production,"Hideshi Ooka, Takumi Ishii, Ryuhei Nakamura, Kazuhito Hashimoto",Poster,,第3回 CSJ化学フェスタ,タワーホール船堀,東京,微生物オイル生産に向けたミドリムシの光運動性制御,大岡英史、石居拓己、中村龍平、橋本和仁
20140329,Electrochemical Society of Japan 81st Annual Meeting,Kansai University,Suita,Element Strategy of Water Splitting: Difference between Mn and Ir,"Hideshi Ooka, Akira Yamaguchi, Kazuhito Hashimoto, Ryuhei Nakamura",Oral,,電気化学会第81回大会,関西大学,吹田,水分解電極触媒における元素戦略: MnとIrの相違,大岡英史、山口晃、橋本和仁、中村龍平
20141124,International Conference on Artificial Photosynthesis (ICARP2014),Awajishima,Japan,Charge Accumulation During Oxygen Evolution Catalysis on Iridium Oxide and Manganese Oxide,"Hideshi Ooka, Akira Yamaguchi, Kazuhito Hashimoto, Ryuhei Nakamura",Poster,,,,,,
20141216,3rd Meeting of Solid and Surface Photochemistry,Kyoto University,Kyoto,Detection of Oxygen Evolution Intermedates of Iridium Oxide Using Optical Waveguide Spectroscopy,"Hideshi Ooka, Akira Yamaguchi, Kazuhito Hashimoto, Ryuhei Nakamura",Oral,,第33回固体・表面光化学討論会,京都大学,京都,光導波路分光法を用いたIrOx電極触媒における酸素発生反応中間体の検出,大岡英史、山口晃、橋本和仁、中村龍平
20141212,"21st Symposium ""Advances in Photocatalysis""",University of Tokyo,Tokyo,Evaluation of the Charge Accumulation Process During the Oxygen Evolution Reaction on Iridium Oxide,"Hideshi Ooka, Akira Yamaguchi, Kazuhito Hashimoto, Ryuhei Nakamura",Poster,,第21回シンポジウム「光触媒反応の最近の展開」,University of Tokyo,Tokyo,酸素発生中におけるイリジウム酸化物の電化貯蔵プロセスの評価,
20150315,Electrochemical Society of Japan 82nd Annual Meeting,Yokohama National University,Yokohama,Detection of Oxygen Evolution Intermediates Using In situ Optical Waveguide Spectroscopy,"Hideshi Ooka, Akira Yamaguchi, Kazuhito Hashimoto, Ryuhei Nakamura",Oral,,電気化学会第82回大会,横浜国立大学,横浜,In situ光導波路分光法を用いた多電子水酸化反応中間体の検出,大岡英史、山口晃、橋本和仁、中村龍平
20150921,3rd International Workshop on Microbial Life under Extreme Energy Limitation,Sandbjerg Manor,Denmark,The Asymmetry of Multi-Electron Transfer Processes at the Enzyme Gene Structure Level,"Hideshi Ooka, Kazuhito Hashimoto, Ryuhei Nakamura",Poster,,,,,,
20151126,RIKEN CSRS Interim Report,RIKEN,Japan,Bioenergetic Restrictions on the Gene Structures of Photosynthetic and Respiratory　Enzymes,Hideshi Ooka,Oral,,,,,,
20160821,67th Annual Meeting of the International Electrochemical Society,Den Haag,The Netherlands,Competition of Carbon Dioxide Reduction and Hydrogen Evolution on Copper Electrodes,"Hideshi Ooka, Marc Koper",Poster,,,,,,
20160807,CINF Summer School 2016,Gilleleje,Denmark,Competition of Carbon Dioxide Reduction and Hydrogen Evolution on Copper Electrodes,"Hideshi Ooka, Marc Koper",Poster,,,,,,
20161102,RIKEN CSRS Interim Report,RIKEN,Japan,Differentiating Between Thermodynamic and Kinetic Rate Determining Processes for Multi-Electron Transfer Catalysis Beyond Computational Simulations,"Hideshi Ooka, Marc Koper, Ryuhei Nakamura",Poster,,,,,,
20170112,The 3rd CSRS-ITbM Joint Workshop,Nagoya University,Nagoya,Probing the Optimization Criteria of Biological Catalysts based on in-silico Genetic Analysis of Phylogenetically Diverse Enzymes,"Hideshi Ooka, Ryuhei Nakamura",Poster,,,,,,
20170223,The 2nd Solar Fuel Material Workshop,Seoul National University,Korea,Asymmetry of Oxygen Evolution and Oxygen Reduction Catalysts Revealed by a Bioinformatic Analysis of Enzymatic Genes,"Hideshi Ooka, Ryuhei Nakamura",Poster,,,,,,
20170910,Electrochemical Society of Japan Autumn Meeting,Nagasaki University,Nagasaki,"Element Strategy of Multi-Electron Transfer Catalysis: Difference Between 3d and 5d Metals based on the Operando Spectroscopy of Mn, Fe, and Ir based Oxygen Evolution Catalysts","Hideshi Ooka, Kazuhito Hashimoto, Ryuhei Nakamura",Oral,,"多電子移動触媒の元素戦略：Mn,Fe,Ir酸素発生触媒のオペランド分光法に基づく3d金属触媒と5d貴金属触媒の相違",,,,
20171101,RIKEN CSRS Interim Report,RIKEN,Japan,Bioinformatics Approach for Understanding Biological Electron Transfer,"Hideshi Ooka, Ryuhei Nakamura",Poster,,,,,,
20180228,Engineering Network Retreat 2018,Nihonbashi Life Science Hub,Tokyo,Informatics Approach for Understanding Multi-Electron Transfer Regulation,"Hideshi Ooka, Ryuhei Nakamura",Poster,,エンジニアリング・ネットワークリトリート2018,日本橋ライフサイエンスハブ,東京,Informatics Approach for Understanding Multi-Electron Transfer Regulation,
20180312,The 3rd Solar Fuel Material Forum,Osaka University,Japan,From the d-band Model to Beyond: Development Strategies for Kinetically-Favorable Multi-Electron Transfer Catalysts,"Hideshi Ooka, Ryuhei Nakamura",Oral,,,,,,
20180313,The 3rd Solar Fuel Material Workshop,Osaka University,Japan,Development Strategies of Oxygen Evolution Catalysts Based on the Reaction Kinetics of Iridium Oxide and Manganese Oxide,"Hideshi Ooka, Ryuhei Nakamura",Oral,,,,,,
20181012,The 6th International Symposium on Solar Fuels and Solar Cells,Dalian,China,Element Strategy of Oxygen Evolution Catalysis Based on the Reaction Mechanism of Iridium Oxide,"Hideshi Ooka, Ryuhei Nakamura",Poster,,,,,,
20190124,The 5th CSRS-ITbM Joint Workshop,Nagoya University,Nagoya,Spectral Analysis Using Machine Learning for Advanced Catalysis Development,Hideshi Ooka,Poster,,第5回CSRS-ITbMジョイントワークショップ,,,,
20190623,2019 North American Catalysis Society Meeting,Chicago,USA,"Element Strategy of Oxygen Evolution Electrocatalysis Based on the Reaction Mechanism of Manganese Oxide, Iron Oxide, and Iridium Oxide","Hideshi Ooka, Ryuhei Nakamura",Oral,,,,,,
20190905,Electrochemical Society of Japan Autumn Meeting,Yamanashi University,Kofu,Catalyst Design Based on the Binding Energy,"Hideshi Ooka, Ryuhei Nakamura",Oral,,電気化学秋季大会,山梨大学,甲府,結合エネルギーから見た電極触媒の開発,
20191119,3rd International Solar Fuels Conference-Young,Hiroshima,Japan,Difference in the Binding Energy Which Optimizes the Rates and Overpotentials of Electrocatalysis,"Hideshi Ooka, Ryuhei Nakamura",Oral,,,,,,
20191120,3rd International Solar Fuels Conference/International Conference on Artificial Photosynthesis 2019 (Joint symposium),Hiroshima,Japan,Difference in the Binding Energy Which Optimizes the Rates and Overpotentials of Electrocatalysis,"Hideshi Ooka, Ryuhei Nakamura",Poster,,,,,,
20191106,RIKEN CSRS Interim Report,RIKEN,Japan,Understanding Catalytic Efficiency based on the Topology of the Reaction Network,"Hideshi Ooka, Ryuhei Nakamura",Poster,,,,,,
20180605,Seminar at Nam Lab,Seoul National University,Korea,Element Strategy of Multi-Electron Transfer Catalysis: Lessons from the Oxygen Evolution Strategies of Iridium Oxide and Photosystem II,Hideshi Ooka,Invited,,,,,,
20181121,The 4th Catalyst Informatics Symposium,Iino Hall,Tokyo,Study on Electrocatalysis based on Informatics and Electron Transfer Theory,Hideshi Ooka,Invited,,第４回キャタリストインフォマティクスシンポジウム,イイノホール,東京,情報科学と電子移動論に基づく電極触媒に関する研究,
20190927,The 4th Solar Fuel Material Workshop,Seoul National University,Korea,Shift of the Optimum Binding Energy at Higher Rates of Catalysis,"Hideshi Ooka, Ryuhei Nakamura",Invited,,,,,,
20200117,iTHEMS Weekly Meeting,RIKEN,Wako,Balancing Thermodynamics and Kinetics to Achieve Maximum Rates in Catalysis,Hideshi Ooka,Oral,,,,,,
20200203,"8th ELSI Symposium ""Extending Views of Catalysis""",Tokyo Institute of Technology,Japan,From Thermodynamics to Kinetics: Predicting New Catalysts By Revisiting the Sabatier Principle,"Hideshi Ooka, Ryuhei Nakamura",Invited,Keynote speaker on Early Career Researcher's Day,,,,,
20221208,Seminar # 212203,Technical Information Institute Seminar,Online,Using Machine Learning in Catalysis Theory,Hideshi Ooka,Invited,,,,,,
